Date,Birla Sun Life Advantage Fund,Birla Sun Life Dividend Yield Plus,Birla Sun Life Equity Fund,Birla Sun Life India GenNext Fund,Birla Sun Life Special Situations Fund,DSP BR Equity Fund,DSP BR Focus 25 Fund,DSP BR Opportunities Fund,DWS Investment Opportunity Fund,Franklin India Flexi Cap Fund,Franklin India High Growth Companies Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Core & Satellite Fund,HDFC Equity Fund,HDFC Growth Fund,HDFC Premier Multi-Cap Fund,HSBC India Opportunities Fund,ICICI Pru Dynamic Plan,ICICI Pru Exports and Other Services Fund,IDFC Classic Equity Fund Plan A,Kotak Select Focus Fund,L&T India Special Situations Fund,Mirae Asset India Opportunities Fund,PineBridge India Equity Fund Standard Plan,Principal Growth Fund,Reliance Equity Opportunities Fund,Reliance Growth Fund,Reliance Regular Savings Fund Equity,Reliance Top 200 Fund,Reliance Vision Fund,SBI Contra Fund,SBI Magnum Multicap Fund,SBI Magnum Multiplier Plus 93,SBI PSU Fund,Sundaram PSU Opportunities Fund,Tata Dividend Yield Fund,Tata Equity Opportunities Fund,Tata Equity P/E Fund,Tata Ethical Fund,Taurus Starshare,Templeton India Growth Fund,UTI-MNC Fund,UTI-Services Industries Fund
01-01-2000,,,40.21,,,,,,,,,30.79,14.5,,23.6,,,,,,,,,,,,,40.51,,,22.99,12.84,,,,,,,,25.76,11.3,,16.38,20.49
01-02-2000,,,47.53,,,,,,,,,31.1,14.12,,25.57,,,,,,,,,,,,,40.73,,,27.28,13.74,,,,,,,,28.38,12.51,,16.56,27.02
01-03-2000,,,60.04,,,,,,,,,34.29,14.32,,27.74,,,,,,,,,,,,,45.54,,,28.47,12.07,,,,,,,,36.37,13.83,,17.55,37.54
01-04-2000,,,52.4,,,,,,,,,30.43,13.05,,24.89,,,,,,,,,,,,,39.37,,,24.19,9.41,,,,,,,,32.05,12.31,,13.66,35.45
01-05-2000,,,38.89,,,,,,,,,24.88,12.17,,21.86,,,,,,,,,,,,,30.15,,,20,8.35,,,,,,,,21.2,8.95,,11.85,32.72
01-06-2000,,,35.07,,,,,9.07,,,,22.62,12.62,,19.97,,,,,,,,,,,,,27.51,,,19.38,8.42,,,,,,,,18.82,9.19,,11.63,28.63
01-07-2000,,,39.93,,,,,10.17,,,,24.27,13.6,,21.78,,,,,,,,,,,,,28.61,,,20.42,8.65,,,,,,,,22.15,10.04,,12.5,33.52
01-08-2000,,,34.67,,,,,8.7,,,,22,12.98,,18.69,,,,,,,,,,,,,25.69,,,20.09,8.03,,,,,,,,17.9,9.02,,11.53,28.34
01-09-2000,,,37.75,,,,,9.64,,,,23.75,12.99,,20.79,,,,,,,,,,,,,24.84,,,19.33,8.31,,,,,,,,20.15,9.57,,11.61,30.93
01-10-2000,,,36.12,,,,,8.62,,,,21.36,11.77,,18.86,9.72,,,,,,,,,,,,24.66,,,18.84,8.23,,,,,,,,17.48,8.68,,10.73,26.9
01-11-2000,,,35.11,,,,,8.12,,,,20.56,11.1,,18.57,9.63,,,,,,,,,,,,24.05,,,17.74,7.76,,,,,,,,15.75,8.15,,10.39,24.73
01-12-2000,,,35.85,,,,,8.69,,,,21.04,11.72,,18.93,9.79,,,,,,,,,,10.15,,24.29,,,18.19,8.24,,,,,,,,15.44,8.62,,10.96,26.33
01-01-2001,,,33,,,,,8.51,,,,20.97,11.97,,18.8,9.39,,,,,,,,,,9.93,,24.19,,,18.22,8.38,,,,,,,,13.29,8.37,,11.49,27.39
