Date,Birla Sun Life Equity Fund,DSP BR Opportunities Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Equity Fund,HDFC Growth Fund,Principal Growth Fund,Reliance Growth Fund,Reliance Vision Fund,SBI Contra Fund,Tata Ethical Fund,Taurus Starshare,UTI-MNC Fund,UTI-Services Industries Fund
01-01-2001,33,8.51,20.97,11.97,18.8,9.39,9.93,24.19,18.22,8.38,13.29,8.37,11.49,27.39
01-02-2001,34.78,9.26,22.33,11.92,19.67,9.27,10.57,24.54,18.42,8.98,14.55,8.59,10.68,26.42
01-03-2001,32.11,8.97,23.21,12.21,19.66,8.8,10.37,24.3,17.76,9.3,13.33,8.09,11.34,25.01
01-04-2001,24.92,7.17,19.04,10.21,16.44,7.46,8.96,19.44,13.91,7.84,11.53,5.96,10.06,19.28
01-05-2001,24.24,6.95,19.62,9.81,16.99,7.28,8.75,19.71,14.07,7.98,11.63,5.85,9.92,18.49
01-06-2001,25.62,7.45,20.69,9.87,17.89,7.47,8.8,20.96,15.12,8.27,11.72,5.82,10.02,19.37
01-07-2001,22.46,6.76,19.4,9.5,16.86,7.13,8.6,19.76,14.37,7.93,10.99,5.08,9.68,17.745
01-08-2001,22.67,6.56,19.13,9.15,16.14,6.87,8.09,18.56,13.54,7.66,10.54,4.95,9.52,16.12
01-09-2001,22.72,6.45,18.61,9.25,16.01,6.95,8.16,18.43,13.56,7.53,10.75,4.9,9.56,15.68
01-10-2001,18.42,5.55,15.94,8.64,14.69,6.36,7.34,16.73,12.61,6.74,9.97,4.4,8.9,13.64
01-11-2001,20.78,6.25,17.78,8.93,16.73,6.79,8.08,18.09,13.73,7.33,10.65,4.72,9.51,14.86
01-12-2001,23.03,6.9,19.66,9.33,17.95,7.26,8.54,19.81,14.86,8.22,11.14,5.25,9.91,16.44
01-01-2002,23.65,6.64,19.83,9.21,18.2,7.17,8.39,19.75,15.38,7.81,10.76,5.14,9.99,15.98
01-02-2002,25.62,7.4,21.07,9.79,19.64,7.88,8.68,21.27,16.78,8.95,11.59,5.22,10.27,16.12
01-03-2002,27.22,8.18,23.85,10.56,21.92,8.7,10.03,22.92,19.03,10.5,12.89,5.61,11.07,17.82
01-04-2002,26.9,8.2,24,11.18,22.59,8.69,10.1,24.11,19.3,10.64,12.97,5.82,10.83,18.13
01-05-2002,27.6,8.08,23.68,11.49,22.62,8.69,9.7,26.61,21.34,10.96,13.05,6.05,10.92,17.88
01-06-2002,25.85,7.64,22.28,10.66,21.2,8.16,9.02,26.9,21.98,10.43,12.04,5.78,10.35,17.35
01-07-2002,26.73,8.24,23.13,11.45,22.31,8.7,9.56,30.84,26.35,11.36,13.01,6.95,10.91,17.71
01-08-2002,24.06,7.56,21.93,10.6,20.86,8.12,9.03,27.71,23.47,10.15,12.2,5.74,10.4,16.4
01-09-2002,25.39,7.8,22.98,11.07,21.82,8.43,9.52,28.4,24.31,10.34,12.28,5.86,10.74,12.86
01-10-2002,23.48,7.17,21.11,10.46,19.82,7.75,9.02,27.05,23.49,9.31,11.28,5.59,10.17,12.22
01-11-2002,22.61,7.29,21.09,10.08,20.08,7.83,9.07,27.07,23.81,9.7,11.11,5.7,9.74,12.18
01-12-2002,24.4,7.8,22.36,10.43,21.05,8.31,9.89,28.38,25.28,10.17,11.84,6.05,10.04,13.08
01-01-2003,26.01,8.47,23.87,10.86,22.9,8.7,10.25,30.76,26.85,10.56,12.4,6.1,10.32,13.91
01-02-2003,24.88,8.25,23.28,10.68,22.43,8.59,9.89,29.83,26.92,10.22,12.15,5.86,10.11,13.73
01-03-2003,25.8,8.51,23.58,10.76,23.16,8.65,10.23,30.42,27.41,10.52,12.62,5.98,10.24,13.97
01-04-2003,24.62,8.22,22.74,10.09,22.39,8.32,9.74,28.28,26.5,9.98,11.63,5.47,9.55,13
01-05-2003,24.9,8.41,23.45,10.56,23.71,8.3,9.51,30.38,27.66,10.17,11.61,5.74,9.92,12.36
01-06-2003,28.43,9.62,25.84,11.84,26.55,9.58,10.6,34.27,31.45,11.37,12.82,6.47,10.89,13.92
01-07-2003,31.36,10.83,29.07,13.15,29.8,10.9,11.47,38.87,35.16,12.68,14.8,7.4,11.49,15.57
01-08-2003,33.95,11.68,31.88,14.12,32.04,11.58,12.58,44.38,37.86,13.67,15.94,7.68,12.03,17.16
01-09-2003,38.31,13.71,35.69,15.84,37.54,13.07,14.31,51.46,43.74,15.42,18.8,9.13,13.36,18.94
01-10-2003,41.58,14.32,36.86,16.86,38.98,14.04,14.98,54.18,48.42,14.92,19.72,9.25,13.86,19.95
01-11-2003,45.14,16.02,39.61,17.63,43.79,15.33,16.2,59.27,53.04,13.3,21.07,10.1,14.41,21.78
01-12-2003,48.8,17.42,43.09,20.33,46.77,16.75,17.71,66.99,59.45,11.72,24.89,11.68,15.45,23.39
01-01-2004,57.81,20.43,49.71,24.31,52.29,19.51,19.68,79.45,69.44,13.64,28.99,13.06,18.85,27.43
01-02-2004,55.46,19.42,48.16,22.75,51.26,18.03,18.63,73.77,63.69,10.03,25.97,11.73,17.85,27.14
01-03-2004,58.25,20.43,50.43,23.08,52.93,18.73,18.96,77.29,66.45,10.5,26.77,11.72,18.54,22.3
01-04-2004,57.01,20.47,51.13,23.47,53.29,18.71,19.38,77.23,64.62,10.3,26.04,11.1,18.27,22
01-05-2004,61.02,21.28,51.94,24.72,53.26,19.1,20.63,80.37,65.34,11.67,26.63,11.45,18.77,22.55
01-06-2004,50.82,17.96,45.64,21.94,46.05,16.24,18.21,70.1,54.85,10.22,22.53,10.81,16.51,19.59
01-07-2004,52.35,18.17,46.5,22.62,46.32,16.61,18.5,70.25,56.99,10.54,22.45,10.26,17.22,20.17
01-08-2004,55.61,19.05,48.45,24.09,49.4,17.26,19.79,76.19,60.9,11.61,24.51,11.22,17.78,21.16
01-09-2004,59.36,19.83,50.85,26.41,51.9,18.63,20.94,84.61,64.19,12.57,26.63,12.86,18.48,21.56
01-10-2004,62.83,21.22,53.67,27.71,55.6,19.45,22.16,89.77,69.5,13.18,28.84,13.91,19.86,23.22
01-11-2004,64.49,21.38,53.17,28.74,55.34,19.71,22.73,90.8,69.7,13.81,28.63,13.98,20.35,23.77
01-12-2004,74.05,23.42,58.04,31.66,60.36,21.63,25.1,99.09,75.11,12.94,31.64,14.9,22.31,26.44
01-01-2005,82,26.06,62.38,35.22,66.39,24.04,27.41,112.12,82.08,14.58,34.61,17.29,20.98,25.86
01-02-2005,79.44,25.93,61.35,34.78,63.95,23.83,27,112.57,83.36,14.65,34.56,16.69,20.66,25.35
01-03-2005,80.83,26.9,64.27,36.09,67.76,24.63,27.69,119.59,89.08,15.84,37.48,19.38,21.2,26.09
