Fund,Units
Franklin India Bluechip Fund - (G),17.3091787329
Franklin India Opportunities Fund - (G),693.977786279
HDFC Large Cap Fund (G),343.312524232
HDFC Top 200 Fund (G),9.42762624798
ICICI Pru Top 100 Fund - (G),350.277590384
ICICI Pru Top 200 Fund - (G),102.076485396
LIC NOMURA MF Equity Fund - (G),1146.44561861
Sundaram Growth Fund - (G),91.8402811238
Tata Pure Equity Fund - (G),164.17966842
UTI-Equity Fund (G),617.270183269
UTI-MasterPlus (G),378.562726407
UTI-Mastershare (G),255.485506556
UTI-Top 100 Fund (G),168.210937863
