Fund,Units
Birla_Dividend_Yield_Plus,25.1069631652
Birla_India_GenNext_Fund,116.780235789
Franklin_India_FlexiCap,137.02522761
Franklin_India_Growth_Fund,59.605581726
Franklin_India_PrimaPlus,19.6211371019
HDFC_Capital_Builder_Fund,10.1613624355
HDFC_Equity,50.2217452006
HDFC_Growth_Fund,86.5967471604
HSBC_India_Opp_Fund,30.4904077177
ICICIPru_Dynamic_Plan,38.1475966611
ICICIPru_Export_And_Services,51.9750519751
Principal_Growth_Fund,131.403342543
Reliance_Equity_Opp_Fund,293.350747409
Reliance_Regular_Savings_Equity,46.3119480195
Tata_Dividend_Yield,301.248502754
Tata_Ethical_Fund,82.6583825998
Taurus_Starshare,15.0920615756
UTI_Service_Industries,35.1892744595
