Date,Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),LIC NOMURA MF Equity Fund - (G),Sundaram Growth Fund - (G),Tata Pure Equity Fund - (G),UTI-Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Top 100 Fund (G)
01-01-2007,263.34,26.41,67.8,109.93,93.36,81.67,21.27,94.37,135.22,32.56,95.99,115.89,78.66
01-02-2007,270.84,27.02,71.49,113.27,96.08,84.09,22.19,97.17,138.73,33.62,98.64,119.96,80.6
01-03-2007,246.32,23.93,65.85,104.79,88.7,78.52,19.61,87.37,129.54,31.06,90.22,111.05,74.06
01-04-2007,245.86,24.1,64.72,104.5,89.18,77.49,19.17,86.3,128.87,30.7,89.34,110.41,73.74
01-05-2007,262.92,25.7,68.9,111.81,95.16,83.5,20.83,91.41,137.16,32.75,94.44,117.84,77.6
01-06-2007,280.05,27.89,72.52,119.52,99.85,89.24,21.22,97.76,146.35,34.94,100.69,126.12,83.13
01-07-2007,284.86,28.63,74.63,120.34,99.94,89.72,21.39,99.71,150.66,34.92,101.71,128.27,83.88
01-08-2007,290.87,28.04,74.48,122.87,101.07,89.51,21.93,100.25,152.04,35.06,103,130.66,84.65
01-09-2007,296.36,28.72,76.2,126.2,103.73,91.26,22.74,103.75,155.45,35.76,105.94,133.29,87.18
01-10-2007,330.84,32.37,83.25,141.25,116.39,98.57,25.67,121.9,175.76,40.16,117.83,150.69,95.94
01-11-2007,364.28,35.32,93.07,159.7,130.77,109.56,30.83,140.5,200.37,44.57,135.12,179.46,112.86
01-12-2007,367.75,36.11,92.77,158.36,128.8,111.25,32.11,145.79,202.69,44.49,133.75,176.16,112.88
01-01-2008,387.66,40.71,99.43,170.24,134.72,123.26,34.84,163.41,219.41,48.33,141.8,189.01,122.89
01-02-2008,339.46,33.23,83.87,151.28,116.73,104.04,28.62,129.75,187.12,42.13,124.29,164.89,104.46
01-03-2008,327.17,32.8,81.61,147.69,112.87,100.32,28.01,128.55,183.24,41.62,120.67,161.32,101.88
01-04-2008,291.61,27.89,71.11,130.83,103.14,87.04,22.31,110.04,159.68,37.94,103.12,137.6,87.01
