Date,Fund
01-01-2008,SBI_Magnum_Multicap
01-02-2008,Reliance_Equity_Opp_Fund
03-03-2008,Reliance_Equity_Opp_Fund
01-04-2008,Reliance_Equity_Opp_Fund
02-05-2008,Reliance_Equity_Opp_Fund
02-06-2008,HDFC_Core_Satellite_Fund
01-07-2008,UTI_Service_Industries
01-08-2008,Tata_Ethical_Fund
01-09-2008,Tata_Ethical_Fund
01-10-2008,Tata_Ethical_Fund
03-11-2008,SBI_Magnum_Multicap
01-12-2008,SBI_Magnum_Multicap
01-01-2009,Principal_Growth_Fund
02-02-2009,ICICIPru_Export_And_Services
02-03-2009,ICICIPru_Export_And_Services
01-04-2009,ICICIPru_Export_And_Services
04-05-2009,Tata_Equity_Opp_Fund
01-06-2009,Principal_Growth_Fund
01-07-2009,Principal_Growth_Fund
03-08-2009,Principal_Growth_Fund
01-09-2009,Principal_Growth_Fund
01-10-2009,Principal_Growth_Fund
03-11-2009,Taurus_Starshare
01-12-2009,Taurus_Starshare
04-01-2010,Taurus_Starshare
01-02-2010,Taurus_Starshare
02-03-2010,Taurus_Starshare
01-04-2010,Taurus_Starshare
03-05-2010,Taurus_Starshare
01-06-2010,HSBC_India_Opp_Fund
01-07-2010,HSBC_India_Opp_Fund
02-08-2010,HSBC_India_Opp_Fund
01-09-2010,SBI_Magnum_Multicap
01-10-2010,SBI_Magnum_Multicap
01-11-2010,SBI_Magnum_Multicap
01-12-2010,SBI_Magnum_Multicap
03-01-2011,Tata_Equity_Opp_Fund
01-02-2011,Tata_Equity_Opp_Fund
01-03-2011,Tata_Equity_Opp_Fund
01-04-2011,DWS_Inv_Opp_Fund
02-05-2011,DWS_Inv_Opp_Fund
01-06-2011,Principal_Growth_Fund
01-07-2011,Principal_Growth_Fund
01-08-2011,Principal_Growth_Fund
02-09-2011,DWS_Inv_Opp_Fund
03-10-2011,DWS_Inv_Opp_Fund
01-11-2011,Principal_Growth_Fund
01-12-2011,Principal_Growth_Fund
02-01-2012,HDFC_Core_Satellite_Fund
01-02-2012,HDFC_Core_Satellite_Fund
01-03-2012,DWS_Inv_Opp_Fund
02-04-2012,HDFC_Core_Satellite_Fund
02-05-2012,DSPBR_Opp_Fund
01-06-2012,DSPBR_Opp_Fund
02-07-2012,HDFC_Premier_Multicap
01-08-2012,HDFC_Premier_Multicap
03-09-2012,HDFC_Premier_Multicap
01-10-2012,HDFC_Premier_Multicap
01-11-2012,HDFC_Premier_Multicap
03-12-2012,HDFC_Premier_Multicap
01-01-2013,HDFC_Premier_Multicap
01-02-2013,HDFC_Premier_Multicap
01-03-2013,HDFC_Premier_Multicap
01-04-2013,HDFC_Premier_Multicap
02-05-2013,HDFC_Premier_Multicap
03-06-2013,HDFC_Premier_Multicap
01-07-2013,HDFC_Premier_Multicap
01-08-2013,HDFC_Premier_Multicap
02-09-2013,HDFC_Premier_Multicap
01-10-2013,HDFC_Premier_Multicap
01-11-2013,Birla_Dividend_Yield_Plus
02-12-2013,Birla_Dividend_Yield_Plus
