Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Birla Sun Life Equity Fund,144000.0,0.993055555556,507542.891078,2.52460341026,0.192519585416,0.517552525145
DSP BR Opportunities Fund,144000.0,1.0,510296.157756,2.54372331775,0.194359569252,0.540051805252
Franklin India Prima Plus,144000.0,1.0,524954.444367,2.64551697477,0.198719210923,0.578449853156
HDFC Capital Builder,144000.0,1.0,531034.724108,2.68774113964,0.200193114579,0.542435522372
HDFC Equity Fund,144000.0,1.0,585255.504793,3.06427433884,0.214759558067,0.568981912607
HDFC Growth Fund,144000.0,1.0,492395.149246,2.41941075865,0.189247378707,0.556315250025
Principal Growth Fund,144000.0,1.0,336743.118276,1.33849387691,0.132956212759,0.405265910648
Reliance Growth Fund,144000.0,1.0,642594.215266,3.46245982824,0.229744243249,0.606760966725
Reliance Vision Fund,144000.0,1.0,455558.129031,2.16359811827,0.17868398875,0.533359340338
SBI Contra Fund,144000.0,0.993055555556,361319.085744,1.50916031767,0.141643556207,0.368380803449
Tata Ethical Fund,144000.0,1.0,519369.657311,2.60673373133,0.196541212872,0.522604093543
Taurus Starshare,144000.0,1.0,492933.812216,2.42315147372,0.188951097429,0.53488705534
UTI-MNC Fund,144000.0,0.993055555556,465982.015662,2.23598621987,0.179945392907,0.482312484333
UTI-Services Industries Fund,144000.0,0.986111111111,342343.098031,1.37738262522,0.132024168596,0.300977590581
