Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Birla Sun Life Equity Fund,144000.0,0.611111111111,393297.270856,1.73123104761,0.187794872373,0.865853585173
DSP BR Opportunities Fund,144000.0,0.611111111111,367928.740114,1.55506069524,0.185269134492,0.700081224379
Franklin India Prima Plus,144000.0,0.625,355591.037467,1.46938220463,0.188882380724,0.947104418195
HDFC Capital Builder,144000.0,0.604166666667,498947.094824,2.46491038072,0.216112349182,0.821848869884
HDFC Equity Fund,144000.0,0.618055555556,402016.504665,1.7917812824,0.211789695174,0.946097820116
HDFC Growth Fund,144000.0,0.625,369764.803354,1.56781113441,0.186408930272,0.859635113067
Principal Growth Fund,144000.0,0.611111111111,315513.551117,1.1910663272,0.148708238453,0.421170127501
Reliance Growth Fund,144000.0,0.625,383215.319009,1.66121749312,0.200408120453,0.931615525149
Reliance Vision Fund,144000.0,0.618055555556,287172.689019,0.994254784854,0.141024742275,0.891146952509
SBI Contra Fund,144000.0,0.611111111111,409968.649748,1.84700451214,0.164331142232,0.923649627258
Tata Ethical Fund,144000.0,0.611111111111,471866.637273,2.27685164773,0.222123647481,0.838434802048
Taurus Starshare,144000.0,0.611111111111,403605.168431,1.80281366966,0.191210258752,0.618987929671
UTI-MNC Fund,144000.0,0.597222222222,534814.528183,2.71398977905,0.209237489104,0.726348620906
UTI-Services Industries Fund,144000.0,0.590277777778,440046.303192,2.0558771055,0.151942392066,0.503585780179
