Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Franklin India Bluechip Fund - (G),144000.0,0.277777777778,944074.422417,5.5560723779,0.205360059254,1.1676075452
Franklin India Opportunities Fund - (G),144000.0,0.291666666667,617517.299417,3.28831457928,0.160375740938,1.20015344132
HDFC Large Cap Fund (G),144000.0,0.284722222222,599720.889639,3.16472840027,0.154095721431,1.21865974481
HDFC Top 200 Fund (G),144000.0,0.270833333333,1215140.37664,7.43847483776,0.233751856536,1.28592042703
ICICI Pru Top 100 Fund - (G),144000.0,0.284722222222,824671.597737,4.72688609539,0.191259403899,1.08655643294
ICICI Pru Top 200 Fund - (G),144000.0,0.270833333333,874518.804391,5.07304725271,0.195992153138,1.31179772548
LIC NOMURA MF Equity Fund - (G),144000.0,0.284722222222,439649.164984,2.05311920128,0.118768821843,0.867996818139
Sundaram Growth Fund - (G),144000.0,0.270833333333,695782.015051,3.83181954896,0.169320461899,1.22306337593
Tata Pure Equity Fund - (G),144000.0,0.298611111111,808225.228374,4.61267519704,0.195724124648,1.13477671767
UTI-Equity Fund (G),144000.0,0.298611111111,669443.052339,3.64891008569,0.16695359312,0.9558442807
UTI-MasterPlus (G),144000.0,0.284722222222,645152.983406,3.48022905143,0.162379411422,1.10124382749
UTI-Mastershare (G),144000.0,0.277777777778,653558.748272,3.53860241856,0.162886271067,1.16769771321
UTI-Top 100 Fund (G),144000.0,0.277777777778,620141.331388,3.30653702352,0.156288945675,1.07592436071
