Category,Inv Period,Return,Std Dev,Sharpe
Regular SIP,1.0,0.182608174134,0.0282953454159,0.50756142757
Flex STP,0.99751984127,0.183592020694,0.0280944654749,0.504166793822
MA Normal 3 months,0.28125,0.196666228159,0.0300780234163,1.28027436076
MA Normal 6 months,0.279761904762,0.197908914102,0.0310931854391,1.27826150193
MA Normal 9 months,0.27876984127,0.197736885878,0.0309417283665,1.26814402306
MA Normal 12 months,0.278273809524,0.19718891031,0.0312365400186,1.26349556858
MA Inverted 3 months,0.589781746032,0.159241250211,0.0248563489626,0.714350361457
MA Inverted 6 months,0.593253968254,0.160603392098,0.022325702145,0.773860117103
MA Inverted 9 months,0.606646825397,0.179624579474,0.0243501702988,0.858995117544
MA Inverted 12 months,0.612103174603,0.186088813788,0.0249378247908,0.785397171145
Top 1,1.0,0.187333447486,,0.59228115447
Top 2,1.0,0.217231758684,,0.514526068181
Top 3,1.0,0.180960469693,,0.517506039425
Bottom 3,1.0,0.181373463571,,0.444183522128
Bottom 2,1.0,0.17177131623,,0.379205459455
Bottom 1,1.0,0.1537537992,,0.415923509535
Equal Weighted,1.0,0.185265000165,,0.482932055874
