Date,Fund,NAV
01-01-2008,DWS_Inv_Opp_Fund,45.6900
01-02-2008,DWS_Inv_Opp_Fund,38.1200
03-03-2008,Reliance_Regular_Savings_Equity,24.5441
01-04-2008,DWS_Inv_Opp_Fund,32.7300
02-05-2008,DWS_Inv_Opp_Fund,36.6400
02-06-2008,DWS_Inv_Opp_Fund,34.6300
01-07-2008,DWS_Inv_Opp_Fund,28.0900
01-08-2008,Reliance_Regular_Savings_Equity,19.7631
01-09-2008,Reliance_Regular_Savings_Equity,20.2757
01-10-2008,Reliance_Regular_Savings_Equity,17.9600
03-11-2008,Birla_Dividend_Yield_Plus,35.1400
01-12-2008,Birla_Dividend_Yield_Plus,33.8200
01-01-2009,ICICIPru_Dynamic_Plan,52.3357
02-02-2009,Birla_Dividend_Yield_Plus,35.4800
02-03-2009,ICICIPru_Dynamic_Plan,45.8666
01-04-2009,ICICIPru_Dynamic_Plan,50.3097
04-05-2009,HDFC_Equity,132.9500
01-06-2009,Birla_Dividend_Yield_Plus,52.9200
01-07-2009,Birla_Dividend_Yield_Plus,51.8400
03-08-2009,Birla_Dividend_Yield_Plus,57.5600
01-09-2009,Birla_Dividend_Yield_Plus,59.9900
01-10-2009,Birla_Dividend_Yield_Plus,64.7600
03-11-2009,Birla_Dividend_Yield_Plus,62.1800
01-12-2009,Tata_Dividend_Yield,25.9657
04-01-2010,Tata_Dividend_Yield,26.9756
01-02-2010,Tata_Dividend_Yield,26.8149
02-03-2010,Tata_Dividend_Yield,27.1449
01-04-2010,Tata_Dividend_Yield,28.7167
03-05-2010,Tata_Dividend_Yield,29.3429
01-06-2010,Tata_Dividend_Yield,28.9355
01-07-2010,Tata_Dividend_Yield,30.7700
02-08-2010,Birla_Dividend_Yield_Plus,83.2800
01-09-2010,Tata_Dividend_Yield,32.5701
01-10-2010,Tata_Dividend_Yield,35.4099
01-11-2010,Tata_Dividend_Yield,35.6901
01-12-2010,Birla_Dividend_Yield_Plus,90.9900
03-01-2011,Tata_Dividend_Yield,35.5773
01-02-2011,HDFC_Equity,269.2800
01-03-2011,HDFC_Equity,268.9550
01-04-2011,HDFC_Equity,282.6610
02-05-2011,HDFC_Equity,282.8840
01-06-2011,Birla_India_GenNext_Fund,24.6000
01-07-2011,Birla_India_GenNext_Fund,25.8900
01-08-2011,Birla_India_GenNext_Fund,26.0300
02-09-2011,Birla_India_GenNext_Fund,24.5800
03-10-2011,Birla_India_GenNext_Fund,23.1500
01-11-2011,Birla_India_GenNext_Fund,24.5700
01-12-2011,Birla_India_GenNext_Fund,23.3900
02-01-2012,Birla_India_GenNext_Fund,21.6500
01-02-2012,Birla_India_GenNext_Fund,23.6400
01-03-2012,Birla_India_GenNext_Fund,24.2800
02-04-2012,Birla_India_GenNext_Fund,25.2600
02-05-2012,Birla_India_GenNext_Fund,25.8300
01-06-2012,Reliance_Equity_Opp_Fund,35.0034
02-07-2012,Reliance_Equity_Opp_Fund,37.4436
01-08-2012,Reliance_Equity_Opp_Fund,37.6496
03-09-2012,Reliance_Equity_Opp_Fund,37.7187
01-10-2012,Birla_India_GenNext_Fund,28.8100
01-11-2012,Reliance_Equity_Opp_Fund,41.7777
03-12-2012,Birla_India_GenNext_Fund,31.2000
01-01-2013,Birla_India_GenNext_Fund,32.1600
01-02-2013,Birla_India_GenNext_Fund,31.7300
01-03-2013,Birla_India_GenNext_Fund,29.9200
01-04-2013,Birla_India_GenNext_Fund,29.5800
02-05-2013,Birla_India_GenNext_Fund,31.9700
03-06-2013,Birla_India_GenNext_Fund,32.9000
01-07-2013,ICICIPru_Export_And_Services,19.9800
01-08-2013,ICICIPru_Export_And_Services,21.7800
02-09-2013,ICICIPru_Export_And_Services,22.6300
01-10-2013,ICICIPru_Export_And_Services,23.4000
01-11-2013,ICICIPru_Export_And_Services,25.0800
02-12-2013,ICICIPru_Export_And_Services,25.8900
01-01-2014,ICICIPru_Export_And_Services,27.2100
