Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
02-01-2007,66.4270,15.6200,48.9110,50.5400,183.5300,15.4900,29.8767,21.9846,54.8000,125.5600,56.8090,23.6900,21.2400,63.5760,139.2100,147.2860,16.1000,17.3539,43.3700,58.9365,50.0500,25.6555,42.2000,18.4970,270.0500,15.7930,26.1780,184.8500,48.8280,66.2100
01-02-2007,68.1413,15.9900,50.5587,51.8800,188.7900,16.1900,29.6560,22.2546,55.5000,129.2100,57.0490,23.8400,21.4600,64.6150,144.2500,152.4150,16.2500,18.0816,42.5500,60.2510,51.8200,26.4940,43.5000,18.9210,279.4000,16.2512,26.1470,186.1700,49.3800,69.3900
01-03-2007,63.6950,15.1200,45.2683,46.9700,172.0100,15.2100,26.8744,20.7108,50.6700,119.4500,52.6630,22.1200,19.7100,60.9840,132.6400,143.6760,14.5100,16.5299,37.7200,55.3144,47.1800,24.2799,40.3800,17.6270,262.0900,14.6147,24.1500,173.5600,45.3160,62.3500
02-04-2007,60.3357,14.4200,43.1347,44.6600,167.3700,14.9400,25.7935,19.6060,48.7500,114.0400,50.0340,21.1800,18.8647,58.2600,127.9823,136.7470,13.9800,15.9334,36.0900,52.9676,44.7200,23.2069,38.7700,16.8220,251.7800,13.9004,22.9620,163.0400,43.8150,60.0590
03-05-2007,67.7847,16.0800,49.1978,50.1100,187.7600,16.4600,28.8855,21.8362,54.8500,126.5800,56.7330,23.6400,21.2064,66.2470,143.8729,153.1690,15.6100,18.0481,41.3000,60.2143,49.4400,27.3128,43.3100,18.9760,279.4200,15.8592,25.5270,187.3700,49.1600,69.6447
01-06-2007,70.0892,17.1000,50.6469,52.4300,203.8700,17.4200,30.5920,22.8252,56.8400,132.9700,59.6440,25.3000,22.4086,70.3380,152.1245,161.9030,16.1400,19.1789,45.0800,64.1523,52.1700,29.6327,46.1500,19.8890,296.9800,16.9451,26.6080,201.0700,53.3050,73.6986
02-07-2007,70.5732,17.6100,53.7457,53.4400,209.4500,17.7200,31.4250,23.4114,60.1400,135.6000,61.2190,26.4600,22.9996,74.0040,156.3387,166.6470,16.3500,19.6999,46.5100,67.0432,53.7300,30.6726,47.1700,20.0220,309.2700,17.4130,27.0620,209.0900,55.2890,74.2082
01-08-2007,71.0805,17.0700,54.9605,53.1600,212.6800,17.7400,29.9837,22.9732,61.4700,135.2300,61.9160,27.5400,23.2617,74.5100,156.8951,165.8170,16.5300,19.7257,47.4100,66.1813,53.0600,31.0365,46.8300,20.4030,311.5900,17.4083,27.6780,211.0900,56.6990,74.1796
03-09-2007,72.8627,17.5400,57.4347,54.6800,219.6300,18.0300,30.9250,23.5546,64.2400,140.4700,64.0780,28.8900,23.9840,77.0160,160.4776,170.6630,17.1500,20.6577,50.6900,68.3927,54.2900,31.6287,47.6200,21.0020,316.2900,17.8594,28.6090,215.3600,58.5010,75.7039
01-10-2007,77.9361,18.8600,63.0942,60.2300,242.7300,19.8600,34.2743,25.3438,71.8200,153.9500,70.8010,33.2900,26.4426,83.6940,179.2596,184.1650,19.1500,23.1238,57.4500,77.2459,60.3400,36.1563,51.9700,22.7930,354.0900,19.8883,30.6510,238.7000,64.3560,87.6915
01-11-2007,84.1961,20.6500,69.9874,68.3100,269.8600,20.8800,38.9528,27.7860,78.9500,169.9800,78.7350,39.6800,29.2600,96.7490,196.3750,209.2500,21.5100,24.4044,64.7300,90.1418,68.5200,40.3111,52.0200,25.8690,401.8800,22.5124,34.4870,264.1100,73.3350,95.6535
03-12-2007,86.6576,21.7000,74.2811,71.9600,283.8500,21.5900,40.9348,29.7407,85.1000,179.7200,82.4460,41.5700,30.0136,100.2200,200.3990,207.9210,22.0600,27.2698,72.4600,94.8726,68.4300,42.3523,57.9400,26.5580,428.7600,24.5141,35.5660,270.2700,75.9180,98.0638
01-01-2008,93.5527,24.8500,81.1040,79.4000,308.3300,24.2700,44.7645,32.0355,89.3600,196.6900,90.5400,45.6900,31.5030,107.2250,212.8439,224.5920,23.1500,30.3475,78.6700,103.7025,73.4400,47.3582,66.5700,27.1800,476.8500,30.2865,37.1740,289.7400,81.2870,106.9698
