Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
01-01-2008,0.4386,0.5596,0.58,0.4993,0.6485,0.6249,0.4198,0.4663,0.6065,0.5686,0.5497,0.7103,0.4809,0.6385,0.5273,0.5137,0.3972,0.659,0.6013,0.6073,0.4199,0.6489,0.5143,0.4624,0.7083,0.5958,0.4281,0.5177,0.6205,0.4944
01-02-2008,0.1484,0.2116,0.1967,0.1843,0.2518,0.2034,0.1662,0.1278,0.2378,0.162,0.2447,0.3896,0.1941,0.2665,0.2347,0.1874,0.1561,0.2135,0.3645,0.2727,0.1549,0.3016,0.1341,0.1672,0.292,0.3875,0.1672,0.2686,0.3103,0.2175
03-03-2008,0.1507,0.1722,0.2517,0.1846,0.2632,0.184,0.1797,0.1327,0.2722,0.1434,0.2259,0.4192,0.1847,0.2711,0.2264,0.1913,0.2065,0.2805,0.3249,0.2698,0.1352,0.3271,0.1756,0.1814,0.2849,0.4219,0.1948,0.2411,0.3404,0.3035
01-04-2008,0.1452,0.0945,0.1965,0.109,0.1822,0.1025,0.1263,0.0574,0.1808,0.0757,0.1812,0.3497,0.1192,0.1968,0.1711,0.1419,0.1062,0.2383,0.2614,0.217,0.0711,0.2672,0.1275,0.1053,0.2194,0.3471,0.111,0.1856,0.3169,0.2803
02-05-2008,0.1346,0.0796,0.1437,0.0869,0.1662,0.0803,0.1245,0.0455,0.15,0.0867,0.1525,0.3518,0.1038,0.1455,0.1603,0.1196,0.0806,0.2142,0.2519,0.1919,0.0724,0.2371,0.1143,0.06,0.2298,0.3226,0.0687,0.141,0.2821,0.2529
02-06-2008,0.0021,-0.0636,0.0217,-0.0157,0.0132,-0.0363,0.0133,-0.0726,0.0318,-0.0323,0.0151,0.2382,-0.0197,0.0082,0.0224,-0.0175,-0.0305,0.1051,0.0801,0.0802,-0.0784,0.1135,-0.0088,-0.0745,0.1083,0.176,-0.0819,-0.0148,0.1059,0.1575
01-07-2008,-0.1641,-0.2316,-0.1867,-0.1808,-0.1666,-0.2075,-0.1378,-0.237,-0.1577,-0.1931,-0.1568,0.0385,-0.2013,-0.1693,-0.1725,-0.1923,-0.1898,-0.0715,-0.092,-0.0962,-0.2521,-0.0614,-0.1536,-0.226,-0.0597,0.0121,-0.25,-0.2157,-0.0943,-0.0252
01-08-2008,-0.0465,-0.1384,-0.1387,-0.1035,-0.1005,-0.1111,-0.047,-0.1241,-0.0886,-0.0941,-0.0694,0.0749,-0.1292,-0.087,-0.0842,-0.08,-0.1184,0.0124,-0.0102,-0.0226,-0.1266,0.005,-0.0544,-0.1208,0.0166,0.0873,-0.1266,-0.1177,-0.0065,0.0474
01-09-2008,-0.0544,-0.1658,-0.1838,-0.13,-0.1234,-0.1041,-0.0798,-0.1351,-0.108,-0.1336,-0.1012,0.035,-0.149,-0.0916,-0.0816,-0.0791,-0.1556,-0.0313,-0.0634,-0.0446,-0.1476,-0.014,-0.0658,-0.1282,-0.0039,0.0873,-0.1455,-0.1327,-0.0184,0.0187
01-10-2008,-0.2096,-0.3155,-0.3606,-0.2985,-0.2847,-0.2493,-0.2519,-0.2788,-0.2849,-0.272,-0.2624,-0.1568,-0.3079,-0.2355,-0.2421,-0.2092,-0.3463,-0.2029,-0.2479,-0.2372,-0.3132,-0.2104,-0.1717,-0.2549,-0.1769,-0.0633,-0.2548,-0.302,-0.1618,-0.2347
