Date,AXIS Equity Fund (G),Baroda Pioneer Growth - Plan A (G),Birla Sun Life Frontline E F - Plan A (G),Birla Sun Life Long Term Advantage Fund (G),Birla Sun Life Top 100 Fund (G),BNP Paribas Equity Fund (G),Canara Robeco Equity Diversified (G),DSP BR Top 100 Equity Fund (G),Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),HSBC Equity Fund (G),ICICI Pru Focused Bluechip Equity Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),IDFC Equity Fund - A (G),IDFC Imperial Equity Fund - Plan A (G),JM Multi Strategy Fund (G),JPMorgan India Equity Fund (G),Kotak 50 (G),Kotak Opportunities (G),L&T Equity Fund (G),L&T India Large Cap Fund (G),LIC NOMURA MF Equity Fund - (G),Principal Large Cap Fund (G),Quantum Long-Term Equity Fund (G),Reliance Focused Large Cap Fund (G),SBI BlueChip Fund (G),SBI Magnum Equity Fund (G),Sundaram Growth Fund - (G),Sundaram Select Focus - (G),Tata Pure Equity Fund - (G),UTI-Contra Fund (G),UTI-Dividend Yield Fund (G),UTI-Equity Fund (G),UTI-India LifeStyle Fund (G),UTI-Leadership Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Opportunities Fund (G),UTI-Top 100 Fund (G)
01-01-2000,,,,,,,,,51.68,,22.66,25.09,,,30.63,18.74,,,,,,,,,10.7,,,,,,22.41,,27.9,,,15.61,,,27.87,44.65,,22.62
01-02-2000,,,,,,,,,53.51,,23.07,24.59,,,33.19,20.95,,,,,,,,,11.34,,,,,,25.1,,31.22,,,15.86,,,28.78,46.605,,24.31
01-03-2000,,,,,,,,,59.58,,23.34,27.05,,,37.35,24.98,,,,,,,,,12.03,,,,,,27.5,,35.41,,,16.7,,,29.79,48.56,,27.94
01-04-2000,,,,,,,,,54.94,9.36,20.19,21.55,,,32.63,21.6,,,,,,,,,10.07,,,,,,24.4,,31.75,,,13.08,,,25.97,42.28,,23.71
01-05-2000,,,,,,,,,48.26,8.64,18.42,16.1,,,24.6,16.53,,,,,,,,,8.48,,,,,,20.24,,26.07,,,11.42,,,23.09,37.13,,19.01
01-06-2000,,,,,,,,,44.78,7.95,18.36,15.7,,,21.84,14.62,,,,,,,,,8.09,,,,,,18.69,,24.1,,,11.13,,,22.68,33.42,,19.21
01-07-2000,,,,,,,,,49.28,8.66,18.3,16.97,,,24.35,15.54,,,,,,,,,8.98,,,,,,20.5,,27.81,,,12.36,,,25.06,40,,22.06
01-08-2000,,,,,,,,,44.34,7.51,17.8,15.33,,,21.16,13.91,,,,,,,,,8.23,,,,,,18.33,,28.16,,,11.15,,,22.86,36.42,,19.23
01-09-2000,,,,,,,,,48.24,8.42,17.3,16.37,,,22.84,15.01,,,,,,,,,8.47,,,,,,19.93,,30.43,,,11.67,,,23.71,37.96,,20.36
01-10-2000,,,,,,,,,43.3,7.5,15.51,14.33,,,21.91,14.2,,,,,,,,,7.85,,,,,,18,,27.94,,,10.85,,,21.73,35.61,,17.91
01-11-2000,,,,,,,,,42.3,6.62,15.785,13.93,,,20.8,13.34,,,,,,,,,7.64,,,,,,17.26,,27.88,,,10.19,,,20.74,33.26,,16.8
01-12-2000,,,,,,,,,45.56,6.74,16.06,14.98,,,21.7,13.27,,,,,,,,,8.06,,,,,,18.19,,27.52,,,10.94,,,22.28,33.91,,18.1
01-01-2001,,,,,,,,,44.68,6.19,15.85,15.26,,,20.35,12.82,,,,,,,,,7.85,,,,,,17.62,,26.06,,,11.01,,,22.54,34.56,,18.11
01-02-2001,,,,,,,,,47.58,6.82,15.0975,15.67,,,22,13.28,,,,,,,,,8.01,,,,,,18.44,,26.99,,,11.35,,,23.86,36.405,,19.27
01-03-2001,,,,,,,,,46.84,6.24,14.345,16.12,,,21.5,12.61,,,,,,,,,7.39,,,,,,18.32,,26.19,,,11.28,,,23.76,38.25,,19.29
01-04-2001,,,,,,,,,40.5,4.95,12.84,13.75,,,17.67,10.22,,,,,,,,,5.7,,,,,,15.13,,21.82,,,9.58,,,20.15,31.9,,16.27
